hero,matchup_hero,ally_wins_with,ally_losses_with,ally_win_rate,enemy_wins_against,enemy_losses_against,enemy_win_rate,winrate_into_enemy,total_games_with,total_games_against,popularity_with,popularity_against,total games,total wins,total loss,average_winrate,total wins,total loss,total_games,ally_delta,matchup_average_winrate,occurance,Pairing Score,enemy_delta,enemy_delta2,counter_score,Counter Score,Beater Score
Abathur,Deathwing,160.9894,177.0106,0.4763,399.96,408.04,0.495,0.505,338,808,0.005893935076,0.006963910982,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4993846737,0.5267847961,808,0.2520350571,0.5323813837,51.88283123,0.1933573969,0.2996128512,0.1022317391
Abathur,Deckard,462.0348,611.9652,0.4302,609.0496,676.9504,0.4736,0.5264,1074,1286,0.01136039794,0.009777455374,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4465154956,0.481072089,1286,0.2603893556,0.5568179518,91.30308802,0.3144521504,0.3321081292,-0.01929162672
Abathur,Dehaka,808.002,946.998,0.4604,2286.9936,2051.0064,0.5272,0.4728,1755,4338,0.01353014327,0.01420244048,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4810881483,0.5234472009,4338,0.2983118153,0.4953552831,-7.431760768,1.004054236,0.3439451179,0.3497081825
Abathur,Diablo,2239.1199,2467.8801,0.4757,2865.9232,2566.0768,0.5276,0.4724,4707,5432,0.02702790228,0.02295396254,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4986939009,0.5328601806,5432,0.3498148471,0.4948948099,-8.168587998,1.256737044,0.3534223628,0.3625351219
Abathur,E.T.C.,1063.024,1227.976,0.464,1848.942,1691.058,0.5223,0.4777,2291,3540,0.01792144874,0.01511956268,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4852280752,0.5104418633,3540,0.3110714932,0.5009964817,1.594372796,0.8235804577,0.3391339282,0.3077647399
Abathur,Falstad,1187.9049,1275.0951,0.4823,2801.938,2408.062,0.5378,0.4622,2463,5210,0.01387989326,0.01869478484,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5062920965,0.5323712624,5210,0.3275256792,0.4831578228,-26.95768236,1.192423188,0.3432455279,0.4331120384
Abathur,Fenix,219.0211,241.9789,0.4751,418.0275,406.9725,0.5067,0.4933,461,825,0.003620560118,0.003678851784,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.498003133,0.5320703338,825,0.2612798074,0.5189475691,30.33063476,0.1950729444,0.2928136931,0.1685148533
Abathur,Gall,117.998,87.002,0.5756,160.0056,123.9944,0.5634,0.4366,205,284,0.0007383610974,0.001134744423,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.6117874913,0.5415064704,284,0.2900554181,0.4538104287,-74.11462506,0.06322762824,0.2241044194,0.4274850805
Abathur,Garrosh,911.0762,970.9238,0.4841,1362.876,1377.124,0.4974,0.5026,1882,2740,0.01864685614,0.01322832198,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.508363975,0.5272328713,2740,0.3179899364,0.5296289136,47.46186785,0.6540893863,0.3472175458,0.1348248577
Abathur,Gazlowe,182.0088,225.9912,0.4461,439.9706,459.0294,0.4894,0.5106,408,899,0.008575351693,0.008761885023,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4646745912,0.5025122009,899,0.2401002446,0.5387958688,62.19841244,0.2163610749,0.307294916,0.07166581966
Abathur,Genji,1553.968,1670.032,0.482,1686.11,1587.89,0.515,0.485,3224,3274,0.005136143423,0.008295551698,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5059467605,0.50984632,3274,0.3385052084,0.509399811,15.04146974,0.7675208233,0.3414717423,0.2558393458
Abathur,Greymane,1759.0446,1966.9554,0.4721,1527.9861,1411.0139,0.5199,0.4801,3726,2939,0.008724319283,0.01130599238,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4945494607,0.50686901,2939,0.336919576,0.5037595143,6.015336175,0.6854770823,0.3331649963,0.2848170231
Abathur,Guldan,411.0344,400.9656,0.5062,839.9694,738.0306,0.5323,0.4677,812,1578,0.008931578538,0.01028524055,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5337568906,0.5207607381,1578,0.3005724387,0.489485108,-16.82630795,0.3632753797,0.2995118536,0.3393889757
Abathur,Hanzo,1306.9893,1746.0107,0.4281,2595.096,2724.904,0.4878,0.5122,3053,5320,0.01471540713,0.01813000337,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4441266998,0.4950649338,5320,0.2951269637,0.5406263152,65.14572136,1.282431613,0.3850767449,0.07810519154
Abathur,Hogger,1434.116,1305.884,0.5234,2203.1835,1681.8165,0.5671,0.4329,2740,3885,0.01112723128,0.01033187388,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5534060506,0.5441737266,3885,0.3628055149,0.4495904223,-80.93027694,0.8614237241,0.3078946093,0.6181686707
Abathur,Illidan,3326.0826,2795.9174,0.5433,1174.9168,1004.0832,0.5392,0.4608,6122,2179,0.004721624913,0.00635767766,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.575929391,0.5464602987,2179,0.4174861423,0.4815480224,-29.53657766,0.4979685898,0.3067841472,0.3973177401
Abathur,Imperius,585.9875,709.0125,0.4525,834.08,765.92,0.5213,0.4787,1295,1600,0.009987305371,0.00983445167,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4720131939,0.5066286169,1600,0.2817727665,0.5021477623,3.436440871,0.3726297249,0.3077922541,0.272552185
Abathur,Jaina,1160.0998,1042.9002,0.5266,1728.0528,1397.9472,0.5528,0.4472,2203,3126,0.01259099977,0.01593305526,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5570452251,0.5516370262,3126,0.3553680872,0.4659349145,-54.58870347,0.7040253558,0.3105346264,0.5062923603
Abathur,Johanna,2058.9312,1925.0688,0.5168,2636.0964,2319.9036,0.5319,0.4681,3984,4956,0.02722868468,0.02316640327,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5458825769,0.5401733036,4956,0.3750164392,0.4899454302,-16.08948072,1.141416494,0.3458997755,0.3887607623
Abathur,Junkrat,567.945,634.055,0.4725,1314.9615,1136.0385,0.5365,0.4635,1202,2451,0.007843467447,0.01076193684,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4950099274,0.5264306653,2451,0.2927609339,0.4846529512,-24.56299386,0.5617419045,0.3133357382,0.385747041
Abathur,Kaelthas,479.0205,519.9795,0.4795,881.9811,987.0189,0.4719,0.5281,999,1869,0.01226068033,0.01559625897,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.503068771,0.5043019951,1869,0.2907262197,0.5587490068,94.43460375,0.4577814594,0.3492038985,-0.0308391549
Abathur,KelThuzad,234.988,285.012,0.4519,411.008,420.992,0.494,0.506,520,832,0.005298064717,0.007290344309,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4713246363,0.5258985327,832,0.2510335199,0.5335276746,53.7248993,0.1993034703,0.3013585545,0.09695805485
Abathur,Kerrigan,394.9953,322.0047,0.5509,539.0275,395.9725,0.5765,0.4235,717,935,0.001800564781,0.003689214746,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5844539101,0.5830566784,935,0.3240420116,0.438903264,-98.24571684,0.2051760399,0.2515541107,0.5712255264
Abathur,Kharazim,1160.0352,1410.9648,0.4512,645.9915,663.0085,0.4935,0.5065,2571,1309,0.007875851706,0.006368040623,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4705214571,0.495318202,1309,0.3060224935,0.534100688,54.64593334,0.3137271214,0.3192653227,0.09962030107
Abathur,Leoric,841.995,940.005,0.4725,1376.0016,1235.9984,0.5268,0.4732,1782,2612,0.0164382497,0.01534754786,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4950099274,0.5337372486,2612,0.3075307362,0.4958157642,-6.694933539,0.6048165832,0.3231120346,0.3256142011
Abathur,LiLi,526.9719,734.0281,0.4179,491.0332,607.9668,0.4468,0.5532,1261,1099,0.011794347,0.00931112205,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4325626329,0.4455878552,1099,0.2573650339,0.5870240136,140.6705124,0.2759056575,0.3433141753,-0.1756530847
